      NO              DATA              UNIT           TIME  
      1               22.5                 C           05-17-12/14:02:10  
      2               22.3                 C           05-17-12/14:02:11  
      3               22.3                 C           05-17-12/14:02:11  
      4               22.5                 C           05-17-12/14:02:12  
      5               22.5                 C           05-17-12/14:02:12  
      6               22.5                 C           05-17-12/14:02:13  
      7               22.5                 C           05-17-12/14:02:13  
      8               22.5                 C           05-17-12/14:02:14  
      9               22.5                 C           05-17-12/14:02:14  
     10               22.5                 C           05-17-12/14:02:15  
     11               22.3                 C           05-17-12/14:02:15  
     12               22.3                 C           05-17-12/14:02:16  
     13               22.3                 C           05-17-12/14:02:16  
     14               22.3                 C           05-17-12/14:02:17  
     15               22.3                 C           05-17-12/14:02:17  
     16               22.3                 C           05-17-12/14:02:18  
     17               21.8                 C           05-17-12/14:02:18  
     18               21.8                 C           05-17-12/14:02:19  
     19               22.0                 C           05-17-12/14:02:19  
     20               21.8                 C           05-17-12/14:02:19  
     21               21.8                 C           05-17-12/14:02:20  
     22               21.8                 C           05-17-12/14:02:20  
     23               21.8                 C           05-17-12/14:02:21  
     24               21.8                 C           05-17-12/14:02:21  
     25               21.8                 C           05-17-12/14:02:22  
     26               21.8                 C           05-17-12/14:02:22  
     27               21.8                 C           05-17-12/14:02:23  
     28               21.8                 C           05-17-12/14:02:23  
     29               21.8                 C           05-17-12/14:02:24  
     30               21.8                 C           05-17-12/14:02:24  
     31               21.8                 C           05-17-12/14:02:25  
     32               22.5                 C           05-17-12/14:02:25  
     33               22.7                 C           05-17-12/14:02:26  
     34               22.7                 C           05-17-12/14:02:26  
     35               22.7                 C           05-17-12/14:02:27  
     36               22.5                 C           05-17-12/14:02:27  
     37               22.0                 C           05-17-12/14:02:27  
     38               22.0                 C           05-17-12/14:02:28  
     39               22.0                 C           05-17-12/14:02:28  
     40               22.0                 C           05-17-12/14:02:29  
     41               22.3                 C           05-17-12/14:02:29  
     42               22.3                 C           05-17-12/14:02:30  
     43               23.2                 C           05-17-12/14:02:30  
     44               23.2                 C           05-17-12/14:02:31  
     45               22.8                 C           05-17-12/14:02:31  
     46               22.5                 C           05-17-12/14:02:32  
     47               23.0                 C           05-17-12/14:02:32  
     48               23.5                 C           05-17-12/14:02:33  
     49               24.5                 C           05-17-12/14:02:33  
     50               25.0                 C           05-17-12/14:02:34  
     51               25.0                 C           05-17-12/14:02:34  
     52               24.0                 C           05-17-12/14:02:35  
     53               23.5                 C           05-17-12/14:02:35  
     54               24.5                 C           05-17-12/14:02:35  
     55               25.0                 C           05-17-12/14:02:36  
     56               25.6                 C           05-17-12/14:02:36  
     57               25.1                 C           05-17-12/14:02:37  
     58               25.6                 C           05-17-12/14:02:37  
     59               25.1                 C           05-17-12/14:02:38  
     60               24.5                 C           05-17-12/14:02:38  
     61               25.0                 C           05-17-12/14:02:39  
     62               23.5                 C           05-17-12/14:02:39  
     63               23.5                 C           05-17-12/14:02:40  
     64               23.0                 C           05-17-12/14:02:40  
     65               22.5                 C           05-17-12/14:02:41  
     66               22.5                 C           05-17-12/14:02:41  
     67               22.5                 C           05-17-12/14:02:42  
     68               22.5                 C           05-17-12/14:02:42  
     69               22.5                 C           05-17-12/14:02:43  
     70               22.5                 C           05-17-12/14:02:43  
     71               22.0                 C           05-17-12/14:02:43  
     72               22.3                 C           05-17-12/14:02:44  
     73               22.3                 C           05-17-12/14:02:44  
     74               22.3                 C           05-17-12/14:02:45  
     75               22.3                 C           05-17-12/14:02:45  
     76               22.3                 C           05-17-12/14:02:46  
     77               22.3                 C           05-17-12/14:02:46  
     78               22.3                 C           05-17-12/14:02:47  
     79               22.3                 C           05-17-12/14:02:47  
     80               22.3                 C           05-17-12/14:02:48  
     81               22.3                 C           05-17-12/14:02:48  
     82               22.3                 C           05-17-12/14:02:49  
     83               22.5                 C           05-17-12/14:02:49  
     84               22.5                 C           05-17-12/14:02:50  
     85               22.5                 C           05-17-12/14:02:50  
     86               22.5                 C           05-17-12/14:02:51  
     87               22.5                 C           05-17-12/14:02:51  
     88               22.5                 C           05-17-12/14:02:51  
     89               22.5                 C           05-17-12/14:02:52  
     90               22.5                 C           05-17-12/14:02:52  
     91               22.5                 C           05-17-12/14:02:53  
     92               22.3                 C           05-17-12/14:02:53  
     93               22.3                 C           05-17-12/14:02:54  
     94               22.3                 C           05-17-12/14:02:54  
     95               22.3                 C           05-17-12/14:02:55  
     96               22.3                 C           05-17-12/14:02:55  
     97               22.3                 C           05-17-12/14:02:56  
     98               22.3                 C           05-17-12/14:02:56  
     99               22.3                 C           05-17-12/14:02:57  
    100               22.3                 C           05-17-12/14:02:57  
    101               22.5                 C           05-17-12/14:02:58  
    102               22.5                 C           05-17-12/14:02:58  
    103               22.5                 C           05-17-12/14:02:59  
    104               22.3                 C           05-17-12/14:02:59  
    105               22.3                 C           05-17-12/14:03:00  
    106               22.3                 C           05-17-12/14:03:00  
    107               23.7                 C           05-17-12/14:03:00  
    108               23.7                 C           05-17-12/14:03:01  
    109               25.5                 C           05-17-12/14:03:01  
    110               27.1                 C           05-17-12/14:03:02  
    111               27.1                 C           05-17-12/14:03:02  
    112               28.7                 C           05-17-12/14:03:03  
    113               28.7                 C           05-17-12/14:03:03  
    114               29.2                 C           05-17-12/14:03:04  
    115               30.2                 C           05-17-12/14:03:04  
    116               30.2                 C           05-17-12/14:03:05  
    117               31.1                 C           05-17-12/14:03:05  
    118               31.1                 C           05-17-12/14:03:06  
    119               31.0                 C           05-17-12/14:03:06  
    120               30.7                 C           05-17-12/14:03:07  
    121               31.0                 C           05-17-12/14:03:07  
    122               32.3                 C           05-17-12/14:03:08  
    123               32.0                 C           05-17-12/14:03:08  
    124               32.5                 C           05-17-12/14:03:08  
    125               32.7                 C           05-17-12/14:03:09  
    126               32.7                 C           05-17-12/14:03:09  
    127               32.3                 C           05-17-12/14:03:10  
    128               32.3                 C           05-17-12/14:03:10  
    129               32.7                 C           05-17-12/14:03:11  
    130               32.0                 C           05-17-12/14:03:11  
    131               31.5                 C           05-17-12/14:03:12  
    132               30.6                 C           05-17-12/14:03:12  
    133               30.6                 C           05-17-12/14:03:13  
    134               30.1                 C           05-17-12/14:03:13  
